x,y,oggFile
0.58148,0.6392,SoundDataPrototype/003_train_1.ogg
0.61282,0.63105,SoundDataPrototype/007_train_2.ogg
0.4553,0.48828,SoundDataPrototype/013_Moto_passage_1.ogg
0.69641,0.38985,SoundDataPrototype/037_bus_passage.ogg
0.69731,0.2971,SoundDataPrototype/037_bus_porte.ogg
0.68105,0.41412,SoundDataPrototype/037_scooter_passage_2.ogg
0.56564,0.51968,SoundDataPrototype/037_voiture_passage_6.ogg
0.74964,0.34375,SoundDataPrototype/041_train_1.ogg
0.61333,0.53552,SoundDataPrototype/046_camion_passage.ogg
0.79402,0.2816,SoundDataPrototype/047_scooter_demarrage.ogg
0.66954,0.61416,SoundDataPrototype/047_scooter_passage_2.ogg
0.63108,0.29647,SoundDataPrototype/049_moto_demarrage_1.ogg
0.738,0.3287,SoundDataPrototype/049_voiture_freinage.ogg
0.71425,0.51046,SoundDataPrototype/049_voiture_passage_10.ogg
0.58288,0.57884,SoundDataPrototype/052_bus_passage_2.ogg
0.77,0.39281,SoundDataPrototype/052_scooter_passage_2.ogg
0.65122,0.61028,SoundDataPrototype/055_bus_passage.ogg
0.69445,0.4695,SoundDataPrototype/056_camion_passage.ogg
0.55771,0.53604,SoundDataPrototype/056_moto_passage_2.ogg
0.64006,0.5876,SoundDataPrototype/057_bus_freinage.ogg
0.59666,0.48634,SoundDataPrototype/057_bus_porte_3.ogg
0.63692,0.46137,SoundDataPrototype/067_camion_freinage.ogg
0.7074,0.34119,SoundDataPrototype/067_voiture_passage_4.ogg
0.6535,0.64713,SoundDataPrototype/069_camion_passage_2.ogg
0.67375,0.5555,SoundDataPrototype/071_moto_passage_3.ogg
0.69032,0.56254,SoundDataPrototype/073_voiture_passage_3.ogg
0.50293,0.40613,SoundDataPrototype/077_porte_voiture.ogg
0.61083,0.34524,SoundDataPrototype/077_porte_voiture_5.ogg
0.44388,0.45798,SoundDataPrototype/077_porte_voiture_7.ogg
0.78,0.48095,SoundDataPrototype/bateaux_7-1.ogg
0.74258,0.57643,SoundDataPrototype/bateaux_8-1.ogg
0.73115,0.59147,SoundDataPrototype/bateaux_vagues_9-1.ogg
0.66035,0.48561,SoundDataPrototype/018_oiseaux_chant.ogg
0.7135,0.54983,SoundDataPrototype/018_oiseaux_chant_2.ogg
0.53681,0.37503,SoundDataPrototype/026_oiseaux_chant.ogg
0.22957,0.24095,SoundDataPrototype/animaux_6003_cheval_71-1.ogg
0.3724,0.24535,SoundDataPrototype/animaux_6003_cheval_72-1.ogg
0.097157,0.23489,SoundDataPrototype/animaux_6003_cheval_72-2.ogg
0,0.40687,SoundDataPrototype/animaux_6003_chien53-1.ogg
0.052853,0.43974,SoundDataPrototype/animaux_6003_chien54-2.ogg
0.44895,0.39966,SoundDataPrototype/animaux_6003_chien55-5.ogg
0.083989,0.39678,SoundDataPrototype/animaux_6003_chien_52-4.ogg
0.69944,0.23441,SoundDataPrototype/animaux_6003_pigeons25-2.ogg
0.69503,0.21296,SoundDataPrototype/animaux_6003_pigeons25-3.ogg
0.71582,0.22493,SoundDataPrototype/animaux_6003_pigeons_25-1.ogg
0.44431,0.59633,SoundDataPrototype/oiseaux_corbeau_8-1.ogg
0.52141,0.52116,SoundDataPrototype/020_marteau_piqueur_9.ogg
0.73517,0.22381,SoundDataPrototype/034_marteau_piqueur_7.ogg
0.63657,0.63095,SoundDataPrototype/034_metal_travaux.ogg
0.65893,0.28404,SoundDataPrototype/035_marteau_piqueur_1.ogg
0.78497,0.42321,SoundDataPrototype/073_metal.ogg
0.61265,0.60255,SoundDataPrototype/Travaux_6011_1-1.ogg
0.84197,0.26642,SoundDataPrototype/Travaux_6011_17-1.ogg
0.76516,0.61309,SoundDataPrototype/Travaux_6011_39-1.ogg
0.7403,0.54679,SoundDataPrototype/Travaux_6011_51-1.ogg
0.75889,0.5405,SoundDataPrototype/Travaux_6011_64-1.ogg
0.66229,0.54159,SoundDataPrototype/Travaux_6011_66-1.ogg
0.74799,0.44977,SoundDataPrototype/Travaux_6011_67-1.ogg
0.90539,0.41702,SoundDataPrototype/Travaux_6012_1-1.ogg
0.26353,0.31855,SoundDataPrototype/Travaux_6012_13-1.ogg
0.71479,0.15932,SoundDataPrototype/Travaux_6012_18-2.ogg
0.50219,0.32785,SoundDataPrototype/Travaux_6012_25-1.ogg
0.49636,0.43377,SoundDataPrototype/Travaux_6012_31-2.ogg
0.78855,0.35319,SoundDataPrototype/Travaux_6012_39-1.ogg
1,0,SoundDataPrototype/Travaux_6012_40-1.ogg
0.94195,0.29209,SoundDataPrototype/Travaux_6012_42-1.ogg
0.90944,0.38114,SoundDataPrototype/Travaux_6012_49-1.ogg
0.9241,0.34757,SoundDataPrototype/Travaux_6012_51-2.ogg
0.62665,0.35321,SoundDataPrototype/Travaux_6012_56-1.ogg
0.83331,0.29632,SoundDataPrototype/Travaux_6012_67-2.ogg
0.50523,0.51646,SoundDataPrototype/Travaux_6012_8-3.ogg
0.86798,0.20502,SoundDataPrototype/Travaux_6012_88-1.ogg
0.83039,0.37745,SoundDataPrototype/Travaux_6012_97-3.ogg
0.74822,0.65935,SoundDataPrototype/US_Bulldozer_travaille_1.ogg
0.72128,0.38579,SoundDataPrototype/US_Bulldozer_travaille_2.ogg
0.76478,0.50941,SoundDataPrototype/US_Bulldozer_travaille_3.ogg
0.55603,0.47149,SoundDataPrototype/022_ballon.ogg
0.57746,0.33801,SoundDataPrototype/023_roller_3.ogg
0.17867,0.40546,SoundDataPrototype/Jeux_football_37-3.ogg
0.27203,0.3591,SoundDataPrototype/jeux_tennis_6031_81-2-81-3.ogg
0.72759,0.28253,SoundDataPrototype/jeux_tobogan_6031_84-1.ogg
0.62696,0.56793,SoundDataPrototype/032_cris_enfant_1.ogg
0.54753,0.6222,SoundDataPrototype/032_cris_enfant_3.ogg
0.52938,0.70712,SoundDataPrototype/032_cris_enfant_5.ogg
0.62159,0.64229,SoundDataPrototype/032_cris_enfant_6.ogg
0.56439,0.62556,SoundDataPrototype/032_cris_enfant_8.ogg
0.56576,0.57606,SoundDataPrototype/032_cris_enfant_9.ogg
0.68135,0.49947,SoundDataPrototype/064_cris_enfant.ogg
0.60849,0.47661,SoundDataPrototype/077_voix_femme.ogg
0.65248,0.43455,SoundDataPrototype/077_voix_femme_2.ogg
0.62964,0.39709,SoundDataPrototype/077_voix_homme_1.ogg
0.60007,0.44058,SoundDataPrototype/077_voix_homme_2.ogg
0.57187,0.40916,SoundDataPrototype/077_voix_homme_3.ogg
0.60896,0.37711,SoundDataPrototype/077_voix_homme_4.ogg
0.64697,0.50948,SoundDataPrototype/077_voix_homme_rire_1.ogg
0.59699,0.32168,SoundDataPrototype/079_05_toux_3.ogg
0.4721,0.45982,SoundDataPrototype/079_07_toux_4.ogg
0.46194,0.4195,SoundDataPrototype/079_07_toux_6.ogg
0.60901,0.29823,SoundDataPrototype/079_08_rire_4.ogg
0.59112,0.40352,SoundDataPrototype/079_08_rire_5.ogg
0.54208,0.4192,SoundDataPrototype/079_10_hey_1.ogg
0.51947,0.43186,SoundDataPrototype/079_10_hey_2.ogg
0.51184,0.49024,SoundDataPrototype/079_10_hey_3.ogg
0.55996,0.49986,SoundDataPrototype/079_11_rire_2.ogg
0.6071,0.51504,SoundDataPrototype/079_12_Toux_1.ogg
0.74557,0.2893,SoundDataPrototype/070_klaxon.ogg
0.54892,0.23882,SoundDataPrototype/079_03_velo_sonnette_1.ogg
0.9045,0.15143,SoundDataPrototype/US_Alarme_incendie.ogg
0.43482,0.67286,SoundDataPrototype/US_Alarme_voiture.ogg
0.62622,0.74511,SoundDataPrototype/US_Alarme_voiture_3.ogg
0.75619,0.46346,SoundDataPrototype/US_Klaxon_TGV.ogg
0.21409,0.30094,SoundDataPrototype/US_sifflet_1.ogg
0.46151,0.085446,SoundDataPrototype/US_sifflet_2.ogg
0.60027,0.95581,SoundDataPrototype/US_sirene_ambulance_1.ogg
0.61009,0.86959,SoundDataPrototype/US_sirene_police_1.ogg
0.62982,1,SoundDataPrototype/US_sirene_pompier_1.ogg
0.16957,0.11526,SoundDataPrototype/alarme_6010_velo_22-1.ogg
0.24866,0.41831,SoundDataPrototype/alarme_6010_velo_24-2.ogg
0.28108,0.64182,SoundDataPrototype/cloches_6010_23-1.ogg
0.43507,0.86527,SoundDataPrototype/cloches_6010_23-2.ogg
0.52994,0.63581,SoundDataPrototype/cloches_6010_23-3.ogg
0.58974,0.67766,SoundDataPrototype/klaxon_voiture_1.ogg
0.49132,0.71116,SoundDataPrototype/klaxon_voiture_2.ogg
0.55154,0.30987,SoundDataPrototype/079_03_velo_pf_1.ogg
0.47482,0.38566,SoundDataPrototype/079_04_velo_frein_1.ogg
0.23706,0.17032,SoundDataPrototype/Pas_6016_femme_beton_10-1.ogg
0.4645,0.20087,SoundDataPrototype/Pas_6016_femme_beton_10-2.ogg
0.60749,0.17509,SoundDataPrototype/Pas_6016_femme_beton_13-1.ogg
0.51267,0.18665,SoundDataPrototype/Pas_6016_femme_beton_13-2.ogg
0.54809,0.26113,SoundDataPrototype/Pas_6016_femme_gravier_93-1.ogg
0.48209,0.28428,SoundDataPrototype/Pas_6016_femme_gravier_93-2.ogg
0.51822,0.27081,SoundDataPrototype/Pas_6016_femme_terre_89-1.ogg
0.59023,0.21896,SoundDataPrototype/Pas_6016_femme_terre_89-2.ogg
0.57768,0.27632,SoundDataPrototype/Pas_6016_femme_terre_90-1.ogg
0.49655,0.30035,SoundDataPrototype/Pas_6016_femme_terre_90-2.ogg
0.36045,0.20792,SoundDataPrototype/Pas_6016_homme_beton_1-1.ogg
0.45245,0.31847,SoundDataPrototype/Pas_6016_homme_beton_1-2.ogg
0.57748,0.20121,SoundDataPrototype/Pas_6016_homme_beton_4-1.ogg
0.65253,0.26218,SoundDataPrototype/Pas_6016_homme_beton_4-2.ogg
0.60031,0.24337,SoundDataPrototype/Pas_6016_homme_gravier_92-1.ogg
0.62783,0.18664,SoundDataPrototype/Pas_6016_homme_gravier_92-2.ogg
0.6281,0.20975,SoundDataPrototype/Pas_6016_homme_terre_87-1.ogg
0.64045,0.19938,SoundDataPrototype/Pas_6016_homme_terre_87-2.ogg
0.63689,0.21625,SoundDataPrototype/Pas_6016_homme_terre_88-1.ogg
0.60223,0.19206,SoundDataPrototype/Pas_6016_homme_terre_88-2.ogg
0.68854,0.30997,SoundDataPrototype/velo_6010_32-1.ogg
0.73095,0.43557,SoundDataPrototype/velo_6010_32-2.ogg
0.64803,0.38876,SoundDataPrototype/velo_6010_32-3.ogg
0.65909,0.36719,SoundDataPrototype/velo_6010_33-3.ogg
